Index;Category;ShortName;Prompt;Prompt Source;Difficulty;Practicality;Concreteness;Domain-specific;;Answer (GPT3.5);GPT-4;Answer (MD);Answer (PNG);Answer (PDF);Rating [1-5];Length (Chars);Answer/Prompt Ratio;Correct Syntax;Compilation tested;Correct Functionality;Complete;Comments;Relevance;Accuracy;Clarity;Depth;Helpfulness
22;PLC Programming Exercises;Heating Control;Write a self-contained 61131-3 structured text program, not a function block, to control the temperature of a heating system. The system should automatically turn on and off based on three temperature sensors and maintain a constant temperature range between 20 and 22 degree celsius.;n/a;2;2;3;5;;URL;;MD;PNG;PDF;5;1651;5,8;Yes;No;Yes;No;OK;;;;;
23;PLC Programming Exercises;Traffic Control;Write a self-contained 61131-3 structured text program, not a function block,  to control a traffic light system. The system shall react to pedestrian push buttons and to the presence of emergency vehicles to give them priority.;Source;2;5;3;5;;URL;x;MD;PNG;PDF;5;5006;22,0;No;No;Yes;Yes;PROCEDURE, ELSEIF, DELAY100ms, Timer value too short with 5 sec.;;;;;
24;PLC Programming Exercises;Pneumatic Control;Write a self-contained 61131-3 structured text program, not a function block, to control a pneumatic system with a control loop frequency of 100 ms. The system should control the flow of air to actuators based on input signals to 50 standard liters per minute, and maintain a pressure range of 5.5 to 6 bar.;n/a;3;5;5;5;;URL;;MD;PNG;PDF;4;2545;8,3;Yes;No;Yes;Yes;OK;;;;;
25;PLC Programming Exercises;Elevator Control;Write a self-contained 61131-3 structured text program for controlling an elevator. Every floor of the 5-floor building contains bottom and top limit switches. There is a 7 seconds timer for opening the elevator door, and a 10 seconds timer for opening the door again if none of the buttons inside the elevator cabin are pressed. The elevator operates based on the current direction and the direction imposed by up and call buttons on each floor.;Source;2;2;2;5;;URL;x;MD;PNG;PDF;5;3750;8,4;?;No;?;No;OK, needs refinement;;;;;
26;PLC Programming Exercises;Car Wash Station;Write a PLC program in ST according to IEC 61131-3, to create an automatic car wash station with only one station. Station detect if car is there by a sensor and if no human is present (In car wash area) then it start to wash to car. If there is any human detected in the car wash area then car wash station should stop and send an alarm.;Source;1;1;1;4;;URL;;MD;PNG;PDF;4;2977;8,8;Yes;Yes;Yes;Yes;"Tested on virtual PLC and worked fine (without alarm)
Alarm was not handled correctly.";;;;;
27;PLC Programming Exercises;Underground Car Park;"Write a PLC program in ST according to IEC 61131-3, to create an Entry/Exit Control of the Underground Car Park. 

These are sensors in the system:
X1: Photoelectric switch at the ground floor entry/exit. X1 will be ON when a car passes.
X2: Photoelectric switch at the basement entry/exit. X2 will be ON when a car passes.
M1: M1 will be ON for one scan cycle when a car from the ground floor passes X1.
M2: M2 will be ON for one scan cycle when a car from the basement passes X1.
M3: M3 will be ON for one scan cycle when a car from the basement passes X2.
M4: M4 will be ON for one scan cycle when a car from the ground floor passes X2.

Intermidiate variables:
M20: M20 = ON during the process of a car entering the passage from the ground floor.
M30: M30 = ON during the process of a car entering the passage from the basement.

These are outputs devices in the system:
Y1: Red lights at the entry/exit of the ground floor and the basement.
Y2: Green lights at the entry/exit of the ground floor and the basement.

Description of the process: 
""The entry/exit of the underground car park is a single lane passage which needs the traffic lights to control the cars. Red lights prohibit cars entering or leaving while green lights allowcars to enter or leave. When a car enters the passage from the entry of the ground floor, the red lights both on the ground floor and the basement will be ON, and the green lights will be OFF. Any car entering or leaving is prohibited during the process till the car passes through the passage completely. When the passage is clear, the green lights will be ON again and allow other cars entering from the ground floor or the basement.Similarly, when a car leaves the basement and enters the passage, any other car entering or leaving is prohibited till the car passes from the passage to the ground completely.When PLC runs, the initial setting of traffic lights will be green lights ON and red lights OFF."" ";Source;2;4;5;5;;URL;;MD;PNG;PDF;5;4572;2,3;Yes;Yes;?;?;OK;;;;;
28;PLC Programming Exercises;Pick and Place;"Write a PLC program in ST according to IEC 61131-3, for a pick-and-place application for a robot with two conveyors.
Here is the description of the process:
1) Whole machine has two modes: auto and manual
2) Manual Mode: When the button Manual is pressed, the robotic arm will begin to execute the manual control process: pressing Clip to clip the product from conveyor A, pressing Transfer to move the product to conveyor B, and pressing Release to release the product and send it away by conveyor B.
3) Auto Mode: When the button Auto is pressed, the robotic arm will begin to execute the auto control process once: clip the product (keep holding this product before releasing it), then transfer the product (the action takes 2 seconds), and then lastly release the product. The auto control process can be performed one more time if the button Auto is pressed again.
4) Manual control process and auto control process are interlocked.";Source;2;3;5;5;;URL;;MD;PNG;PDF;5;3208;3,4;Yes;Yes;?;?;OK;;;;;
29;PLC Programming Exercises;Empty Bottle Removal;Write a self-contained 61131-3 structured text program for packaging bottles. After filling, the bottles are moved with a conveyor to packaging. A proximity sensor detects any bottle, another one only empty bottles. A cylinder removes empty bottles.;Source;3;4;5;5;;URL;;MD;PNG;PDF;5;3128;12,6;Yes;Yes;?;?;OK, but simulated sensors may not work.;;;;;
30;PLC Programming Exercises;Coffee Maker;"Write a self-contained 61131-3 structured text program for a coffee machine.

This machine contains three tanks, each for coffee, milk, and mixer, and three valves, one for the coffee, one for the milk, and the last valve for the output. This coffee machine contains a mixer, which is required to mix the coffee and milk properly to create the best output, The mixer is designed to work for four seconds after which it will automatically stop and the output valve will open to get the output.

The mixer is designed with a timer and will automatically start when the mixer tank reaches the maximum level, the tank is attached to the mixer as both the valves of coffee and milk are open and it started to fill the mixer and then the tank level comes into play with the preset maximum level, the mixer tank can be filled up to 130ml as it reaches the maximum level, the valves of coffee and milk will close and then it will start the mixing.

The coffee machine contains four Push buttons. Button one is for emergency stop, Button two is to start the machine, Button three is for Coffee and Milk and the last button is for Coffee only. The emergency stop is use as a safety button if anything goes wrong in the machine like if any of the valves not open, if the tank level does not work properly, if the mixer fails to work properly or any of the unexpected events occur, then there is a need of emergency stop to stop the machine instantly. ";Source;1;3;3;4;;URL;x;MD;PNG;PDF;4;3503;2,4;?;Yes;?;?;OK;;;;;
31;Process Control;PID Temperature Control Gas Turbine;Write a self-contained IEC 61131-3 Structured Text program to implement PID feedback control for the temperature inside a gas turbine by providing a setpoint for the opening of an inlet valve. ;n/a;2;1;2;5;;;x;MD;PNG;PDF;5;4060;21,0;Yes;No;Yes;No;OK;;;;;
32;Process Control;PID Level Control Distillation Column;Write a self-contained IEC 61131-3 Structured Text program to implement PID feedback control for the level in a distillation column. The output signal goes to an inlet valve feeding the column.;n/a;2;1;2;5;;URL;x;MD;PNG;PDF;5;2473;12,8;Yes;No;Yes;Yes;OK;;;;;
33;Process Control;PID Pressure Control Chemical Reactor;Write a self-contained 61131-3 structured text program to implement PID feedback control for the pressure in a chemical reactor.;n/a;2;1;1;5;;URL;x;MD;PNG;PDF;5;2520;19,7;Yes;No;Yes;Yes;OK;;;;;
34;Process Control;PID Flow Control Water Treatment;Write a self-contained 61131-3 structured text program to implement PID feedback flow control for the chemical dosing in a water treatment process. Assume a dosing rate of 3 ppm for chlorine and a sampling rate of 100 ms.;n/a;2;2;4;5;;URL;x;MD;PNG;PDF;3;3301;14,9;Yes;No;Yes;Yes;WHILE TRUE, SLEEP, …;;;;;
35;Process Control;PID ph Control;Write a self-contained 61131-3 structured text program, not a function block, to implement PID feedback ph control.;n/a;2;2;3;5;;URL;x;MD;PNG;PDF;4;2024;17,6;Yes;No;Yes;Yes;OK, created an uncessary for loop, easy to remove;;;;;
36;Process Control;Feedforward Control Mixing;Write a self-contained 61131-3 structured text program, not a function block, to implement feedforward control for mixing two reactants. ;n/a;3;2;3;5;;URL;x;MD;PNG;PDF;4;2100;15,3;Yes;No;Yes;Yes;OK;;;;;
37;Process Control;Feedforward Control Conveyor;Write a self-contained 61131-3 structured text program, not a function block, to implement feedforward control for adjusting the speed of a conveyor belt based on sensor-based predicted load.;n/a;4;3;3;5;;URL;x;MD;PNG;PDF;4;2773;14,5;Yes;No;?;?;OK;;;;;
38;Process Control;Cascade Control Heat Exchanger;Write a self-contained 61131-3 structured text program, not a function block, to implement cascade control for the temperature in a heat exchanger.;n/a;4;3;3;5;;URL;x;MD;PNG;PDF;5;2470;16,8;Yes;No;?;?;OK, uses LIMIT function. ;;;;;
39;Process Control;Cascade Control Oil Refinery;Write a self-contained 61131-3 structured text program, not a function block, to implement cascade control for the pressure in an oil refinery. The primary loop controls the pressure in the vessel, while the secondary loop controls the flow of oil into the vessel. The output of the primary loop is used as the setpoint for the secondary loop.;n/a;4;3;4;5;;URL;x;MD;PNG;PDF;5;2286;6,7;Yes;No;Yes;No;OK, includes limiting. Needs functions for IO.;;;;;
40;Process Control;Ratio Control Mixing;Write a self-contained 61131-3 structured text program, not a function block, to implement ratio control for mixing two reactants in a 2 to 1 ratio.;n/a;3;3;3;5;;URL;x;MD;PNG;PDF;4;2345;15,8;Yes;No;Yes;Yes;OK;;;;;
41;Sequential Control;Batch Polyethylene;Write a self-contained 61131-3 structured text program, not a function block, to implement batch control for a polyethylene production process. It shall contain the steps raw material preparation, polymerization, quenching, drying, pelletizing, quality control, as well as packaging and storage.;n/a;2;4;4;5;;URL;x;MD;PNG;PDF;4;4277;14,5;?;No;?;?;OK, but there is no LOOP keyword in 61131;;;;;
42;Sequential Control;Batch PVC;"Create an ISA-88 control recipe for batch production of polyvinylchloride by polymerization of vinylchloride monomers. The recipe should contain at least the following stages: polymerize, decover, dry. Each process stage consists of an ordered set of one or more process operations. 
The control recipe should contain at least the following operations: 
	- Prepare reactor: Evacuate the reactor to remove oxygen. 
	- Charge: Add demineralized water and surfactants. 
	- React: Add vinyl chloride monomer and catalyst, heat to 55 - 60°C, and hold at this temperature until the reactor pressure decreases. 

Write a self-contained 61131-3 structured text program for the sequential control of the reactor including concrete process parameters and timers.

Provide the content for the EvacuateReactor method.
Provide the content for the AddDemineralizedWater method.";Source;3;4;4;5;;URL;x;MD;PNG;PDF;4;10282;11,9;?;No;?;No;OK, example of top-down refinement of a more complex process.;;;;;
43;Sequential Control;Batch Adhesive;"Create an ISA-88 batch control recipe for adhesive production. 

Write a self-contained 61131-3 structured text program for the sequential control in step B.2 Reaction. Include concrete process parameters and timers.

Add the control logic that actually calls these methods.";n/a;3;4;4;5;;URL;x;MD;PNG;PDF;4;7151;26,1;?;No;?;No;Asked without prompting for concrete steps;;;;;
44;Sequential Control;Batch Urea Fertilizer;"Create an ISA-88 batch control recipe of urea fertilizer production.

Write a self-contained 61131-3 structured text program for the sequential control of the reaction stage with typical parameter values.

Narrow down the code for heating, cooling, and pressure regulation.";n/a;3;4;4;5;;URL;x;MD;PNG;PDF;4;9106;33,4;?;No;?;No;OK;;;;;
45;Sequential Control;Batch Aspirin;"Create an ISA-88 control recipe of a batch production for aspirin known as acetylsalicylic acid. The physical structure consists of a reactor, a crystallizer, a centrifuge and a dryer. Educts are Acetic anhydride, Salicylic acid, and  sulphuric acid as catalyst. Products are acetylsalicylic acid and acetic acid. Drying should happen at 90 °C.

Write a self-contained 61131-3 structured text program for the sequential control of the reaction stage with typical parameter values.";Source;4;4;4;5;;URL;x;MD;PNG;PDF;4;5656;11,8;Yes;No;?;No;OK;;;;;
46;Sequential Control;Batch Cocoa Milk;"Create an ISA-88 batch recipe for 100kg cocoa milk production. Ingredients should include milk, water, liquid sugar and cocoa. Equipment consists of a mixing and blending vessel able to stir and heat. Provide adequate amounts and temperatures.

Write a self-contained 61131-3 structured text program for the sequential control of the mixing with typical parameter values.";Source;2;4;4;5;;;x;MD;PNG;PDF;4;4993;13,5;Yes;No;?;No;OK;;;;;
47;Sequential Control;3D Pouch Making Machine;A 3D pouch making machine has 8 heating and 8 cooling station. It has one horizontal and one vertical cutter at the end of the machine. The machine has two feeder units to feed raw material where winding tension is very important to maintain on order to keep proper tension in the raw material through out the machine. Create a detailed start-up and shutdown sequence for this machine and formulate it as IEC 61131-3 Structured Text.;n/a;2;3;4;5;;;x;MD;PNG;PDF;3;2096;4,8;Yes;No;?;No;OK;;;;;
48;Sequential Control;Startup Steam Generator;Write a non-linear model-predictive controller in Python that optimizes the startup of a steam generator in a power plant.;Source;5;4;2;5;;;x;MD;PNG;PDF;4;4167;34,2;?;No;?;No;OK;;;;;
49;Sequential Control;Shutdown Steel Production;"Create a list of steps for the controlled shut-down of a steel production facility.

Create a concrete control narrative for steps 4 to 6 including concrete ranges and setpoints.

Write a self-contained IEC 61131-3 structured text program according to this control narrative.

Write a self-contained IEC 61131-3 function for gradually reducing the fuel gas flow rate to the furnace burners over a period of 12 hours.

Write a self-contained IEC 61131-3 function for adjusting the oxygen supply to the burners to maintain a fuel-to-air ratio of 1:2.5 during the shutdown process.";n/a;4;4;2;5;;;;MD;PNG;PDF;5;11209;19,4;No;No;?;No;OK. ELSEIF.;;;;;
50;Sequential Control;Startup Paper Machine;"Create a detailed startup sequence for the press section of a Valmet paper machine including typical parameter values.

Write a self-contained IEC 61131-3 structured text program to control this startup sequence.";n/a;4;3;1;5;;;;MD;PNG;PDF;5;6548;30,9;Yes;No;?;No;OK;;;;;
51;Interlocks;IL Overfill Protection;Write a 61131-3 structured text program to implement an interlock to provide overfill of a vessel using a level sensor and and inlet valve.;n/a;2;2;2;5;;URL;x;MD;PNG;PDF;5;1769;12,7;Yes;No;Yes;Yes;OK;;;;;
52;Interlocks;IL Pressure Relieve;Write a 61131-3 structured text program to implement an interlock to open a pressure relieve valve in a vessel upon overpressure.;n/a;2;2;3;5;;URL;x;MD;PNG;PDF;5;2751;21,3;No;No;Yes;Yes;OK, MAIN.;;;;;
53;Interlocks;IL Distillation Column;"Create a P&I diagram in textual notation for a distillation column including process equipment, instrumentation, control functions, safety interlocks, and piping, Use typical tagnames.

Write a 61131-3 structured text program to implement the interlocks of this distillation column. Provide concrete values for the high limits and low limits.";n/a;3;3;4;5;;URL;x;MD;PNG;PDF;4;6323;18,5;Yes;No;Yes;No;OK, but interlocks only initiate alarms, do not close valves.;;;;;
54;Interlocks;IL Cause Effect Matrix;Create a cause & effect matrix for interlocks required for a chemical reactor. Each line shall contain a different cause related to a sensor value, and each column shall contain a different effect related to a corresponding actuator action.;n/a;3;3;3;5;;URL;x;MD;PNG;PDF;4;6190;25,8;n/a;n/a;Yes;?;OK, needed precise context + pointing out error.;;;;;
55;Interlocks;IL Motor Function Block Diagram;"Create a motor interlock as a function block diagram that ensures that a motor is not started while equipment is still running.

Provide the content of the Motor Interlock function block as a 61131-3 structured text function block.";n/a;2;2;2;5;;URL;;MD;PNG;PDF;3;3249;14,1;n/a;n/a;Yes;?;OK;;;;;
56;Interlocks;IL Extended Cause Effect Matrix;Create an extended cause & process action matrix for the interlocks for a chemical reactor. The column headings shall be the safety actions performed using the actuators in the system.;n/a;3;3;4;5;;URL;x;MD;PNG;PDF;2;2785;15,1;n/a;n/a;?;?;Answer does not comply to prompt.;;;;;
57;Interlocks;IL Gas Wellhead;Write a 61131-3 structured text program to implement emergency interlocks for a subsea gas wellhead.;n/a;3;3;3;5;;URL;x;MD;PNG;PDF;3;1889;18,9;Yes;No;Yes;Yes;OK;;;;;
58;Interlocks;IL Safety Doors;Write a 61131-3 structured text program to implement interlocks for safety doors in a chemical reactor.;n/a;2;3;2;5;;URL;x;MD;PNG;PDF;4;2264;22,0;Yes;No;Yes;Yes;OK;;;;;
59;Interlocks;IL Prilling Station;Provide a complete list of interlocks required for a prilling station for ammonium nitrates.;n/a;4;4;3;5;;URL;x;MD;PNG;PDF;5;2927;31,8;n/a;n/a;?;No;OK;;;;;
60;Interlocks;IL Gas Turbine;Provide a complete list of interlocks required for a gas turbine in a power plant.;n/a;4;4;3;5;;URL;x;MD;PNG;PDF;5;2850;34,8;n/a;n/a;?;No;OK;;;;;
61;Diagnostics / Communication;Modbus Server;"Write a self-contained 61131-3 structured text function block to act as a Modbus server. It shall process up to 10 parallel client connection requests by Modbus TCP. Modbus requests work within data ranges that map the input and holding registers. The following Modbus function codes are supported:
0x01 Read Coils
0x02 Read Discrete Inputs
0x03 Read Holding Registers
0x04 Read Input Registers
0x05 Write Single Coil
0x06 Write Single Register
0x0F Write Multiple Coils
0x10 Write Multiple Registers
0x17 Read/Write Multiple Registers

Provide the content of the ReadCoils method.";Source;4;3;4;5;;URL;x;MD;PNG;PDF;4;4309;7,4;Yes;No;?;No;OK;;;;;
62;Diagnostics / Communication;Profinet DP Diagnostics;Write a self-contained 61131-3 structured text function block that reads diagnostic data from a Profibus DP slave device.;Source;4;3;2;5;;;x;MD;PNG;PDF;4;2840;23,5;Yes;No;?;No;OK;;;;;
63;Diagnostics / Communication;IO-Link Reading value;Give me a function block written in ST (based on IEC 61131) to read 5 values from remote IO-Link master along with status of operation.;n/a;4;4;4;5;;;;MD;PNG;PDF;4;5088;26,9;Yes;No;?;Yes;Status output from a FB was not used! ;;;;;
64;Diagnostics / Communication;CANOpen PDO Registration;"Give me a IEC 61131 based ST function block  ""CAN_REGISTER_COBID"" which is used to register a PDO or a CAN Layer 2 message for reception by the network layer or to delete such a registration. When calling the block with input REGISTER set to TRUE, the specified COBID (CAN identifier) for receiving messages in the network layer is registered. When calling with REGISTER = FALSE, registry of the respective COBIDs is deleted again. Calling the block with REGISTER = FALSE and COBID = 0 deletes all registries and all the messages stored in the buffer of the network layer.";Source;3;4;4;4;;;;MD;PNG;PDF;4;3430;3,2;No;No;?;Yes;END_FUNCTION_BLOCK is missing in first part of the code. ;;;;;
65;Diagnostics / Communication;Profibus Diagnostics;"Write a self-contained 61131-3 structured text program to retrieve diagnostic data from a Profibus device using the Profibus DPV1 protocol. Add a CASE statement to handle 10 types of this diagnostic data.

Refine the code to use concrete diagnostic data types.";n/a;3;3;4;5;;;x;MD;PNG;PDF;3;5209;20,0;Yes;No;Yes;No;OK;;;;;
66;Diagnostics / Communication;OPC UA Subscription Create;"Write C-code for a Function block to be wrapped inside IEC 61131-3 Structured Text code. The function block shall create an OPC UA subscription using the Open62541 library using a provided Connection Handle as DWORD. As input it also gets an executed flag (type BOOL), a priority (BYTE) and a timeout (TIME). As output it provides three flags Done, Busy, Error, as well as two DWORDs ErrorID and SubscriptionHdl. As an IN/OUT variable the function block has a PublishingInterval (TIME). 

Explain how to wrap this function block into IEC 61131-3 structured text and provide an example for calling it.";Source;4;3;5;5;;;x;MD;PNG;PDF;4;5415;9,0;?;No;?;Yes;OK;;;;;
67;Diagnostics / Communication;EtherCAT State Machine;Write a IEC 61131-3 ST program to go through all states of an EtherCAT slave device using the ESM function block. Use the typical statenames instead of numbers and only perform state changes if they are allowed. Add a 5 second timer delay before each state transititon.;Source;4;3;5;5;;;x;MD;PNG;PDF;4;2053;7,6;Yes;No;Yes;No;OK, few states+transitions are missing, but the available ones are correct.;;;;;
68;Diagnostics / Communication;OPC UA Client;Write c-code for OPC UA Client and then wrap it to a IEC 61131 based function block written in ST. Function block should have inputs pin as Execute (bool), ServerUrl (as STRING[255] ), Timeout (Time), and output pins Done (Bool), Busy (bool), Error (Bool) and ErrorID (DWORD).;n/a;4;3;5;5;;;;MD;PNG;PDF;4;5906;8,0;?;No;?;Yes;missed FB Pins declaration;;;;;
69;Diagnostics / Communication;Communication Monitoring;Give me a function block written in ST as per IEC 61131-3, which monitors communication connection to OPC UA Server, Modebus Server, and Profinet used in a machine and create alarm if one of them is down. Please also added entry in audit trail reason of server down along with its error code.;n/a;3;4;4;4;;;;MD;PNG;PDF;4;1993;3,2;No;No;Yes;No;Audit Trail variable declaration is missing;;;;;
70;Diagnostics / Communication;Ethernet PowerLink diagnostic ;Write an IEC 61131 based function block in ST to get Ethernet PowerLink diagnostic information of a control node device from a controller ( Powerlink managing node).;n/a;5;2;2;3;;;;MD;PNG;PDE;2;3301;20,0;No;No;No;No;very generic, diagnostic error codes are missing;;;;;
71;Advanced Process Control;MPC Matlab Distillation Column;"Write MATLAB code to implement an example mathematical model for a distillation column, which describes its dynamics and the relationships between feed rates and temperature. Do not plot the results.

Write MATLAB code to implement a model-predictive control scheme using this mathematical model for the distillation column.";n/a;5;4;3;5;;URL;x;MD;PNG;PDF;5;4857;15,0;?;No;?;No;OK;;;;;
72;Advanced Process Control;MPC Matlab Aircraft Trajectory;Write MATLAB code to implement model-predictive control to optimize the trajectory of a aircraft.;n/a;5;4;2;5;;URL;x;MD;PNG;PDF;5;5147;53,1;?;No;?;No;OK;;;;;
73;Advanced Process Control;MPC Python Turbine;Write Python code to implement model-predictive control for a turbine in a thermal power plant.;n/a;5;4;2;5;;URL;x;MD;PNG;PDF;5;2407;25,3;?;No;?;No;OK;;;;;
74;Advanced Process Control;MPC Python Robot Movement;Write Python code to implement model-predictive control for a optimizing a robot movement.;n/a;5;4;2;5;;URL;x;MD;PNG;PDF;5;2673;29,7;?;No;?;No;OK;;;;;
75;Advanced Process Control;MPC Python Cellulose Fiber;"How can a model predictive control help in Cellulose fibers production from wood, where the infeed and outfeed must operate continuously while the material between undergoes a two-stage batch process?
Supplied at a average rate of 50 tons per hour, the material must first be pre-treated in a reactor and then homogenized before being transported into a 1,000 cubic meter tank. The preliminary product is not taken from this buffer tank at a constant rate, but rather on demand. To minimize the risk of downtime in downstream stations, a constantly high fill level must be maintained. Due to the duration of the upstream batch processes, however, it takes around two hours to react to a fluctuations in demand. This dead time ruled out the use of a PID controller to automate flow rate adjustments.


Write Python code to simulate the dynamics of such a system. 

Write Python code to implement model-predictive control for this system.";Source;5;4;4;5;;;;MD;PNG;PDF;5;9223;9,9;Yes;No;?;?;OK;;;;;
76;Advanced Process Control;MPC CPlusPlus Wind Farm;Write C++ code to implement model-predictive control for a wind farm.;n/a;5;4;2;5;;;;MD;PNG;PDF;4;3429;49,7;?;No;?;?;Expert needed for evaluation.;;;;;
77;Advanced Process Control;MPC CPlusPlus HVAC;Write C++ code to implement model-predictive control for an HVAC system.;n/a;5;4;2;5;;;;MD;PNG;PDF;4;4299;59,7;?;No;?;?;Expert needed for evaluation.;;;;;
78;Advanced Process Control;Fuzzy Logic Control Chemical Reactor;Write Python code for fuzzy logic control of a chemical reactor.;n/a;5;3;2;5;;;;MD;PNG;PDF;5;2599;40,6;Yes;No;?;?;Expert needed for evaluation.;;;;;
79;Advanced Process Control;ANN Control Chemical Reactor;Write Python code for using artificial neural networks for advanced process control of the  temperature in a chemical reactor.;n/a;5;3;2;5;;;;MD;PNG;PDF;5;1859;14,8;Yes;No;?;?;Expert needed for evaluation.;;;;;
